Epoch,Train Loss,Eval Loss,mAP
0,193.53484344482422,4159.55712890625,0.02783278375864029
1,180.1510213216146,4161.31884765625,0.024815339595079422
2,172.79488372802734,4095.367431640625,0.028976548463106155
3,166.35873667399088,4111.40185546875,0.025293363258242607
4,156.33245595296225,4125.90771484375,0.02919691987335682
5,152.37064488728842,4062.216796875,0.035001832991838455
6,145.38032913208008,4111.8916015625,0.03039184957742691
7,136.0824877421061,4140.28125,0.033993400633335114
8,139.01703898111978,4189.69482421875,0.03017444536089897
9,129.34414037068686,4136.35009765625,0.0344826877117157
10,127.3779780069987,4093.040771484375,0.038281384855508804
11,121.64098230997722,4151.78173828125,0.040651947259902954
12,124.05261993408203,4089.55859375,0.03462779521942139
13,120.68443425496419,4136.2373046875,0.03940628841519356
14,114.5998477935791,4120.7001953125,0.0343443863093853
