Epoch,Train Loss,Eval Loss,mAP
0,0.3811233900487423,5265.6201171875,0.00347734778188169
1,0.3580264840275049,5283.92822265625,0.006127426866441965
2,0.3397613000124693,5260.83447265625,0.0071061453782022
3,0.3269409481436014,5284.3359375,0.008472698740661144
4,0.31591528467833996,5283.8525390625,0.010258850641548634
5,0.3064528200775385,5291.0849609375,0.010827306658029556
6,0.29686317779123783,5273.1728515625,0.01117140706628561
7,0.28892144188284874,5290.8515625,0.010992891155183315
8,0.28192501701414585,5269.2958984375,0.012414105236530304
9,0.2765976581722498,5297.041015625,0.011728106066584587
10,195.73668766021729,5282.9931640625,0.01763635315001011
11,182.05018186569214,5306.369140625,0.021075459197163582
12,176.90736198425293,5261.3173828125,0.022305918857455254
13,171.04489040374756,5297.5146484375,0.023957422003149986
14,167.92513942718506,5269.2763671875,0.02426942065358162
