Epoch,Train Loss,Eval Loss,mAP
0,232.90155685925092,13304.7392578125,0.07354024052619934
1,199.55220037991884,13306.248046875,0.09366677701473236
2,218.11021852493286,5884.89501953125,0.01182572077959776
3,198.23809671401978,5828.20556640625,0.013157685287296772
4,188.90107011795044,5851.02490234375,0.014577800408005714
5,183.3535041809082,5802.3193359375,0.01534277107566595
6,177.58427357673645,5872.5732421875,0.01598886400461197
7,172.68347120285034,5840.15673828125,0.017266996204853058
8,168.66135239601135,5835.0791015625,0.016987813636660576
9,164.74125337600708,5830.158203125,0.016673017293214798
10,160.82836627960205,5828.7451171875,0.01745528168976307
11,200.01055669784546,5759.84912109375,0.016450868919491768
12,163.0376763343811,5789.3935546875,0.01651209406554699
13,157.6938009262085,5778.20361328125,0.017677461728453636
14,154.74104714393616,5766.0830078125,0.018083522096276283
