Epoch,ClassID,Precision,Recall,F1,mAP_class,TP,FP,FN
9,8,0.8846153842751479,0.06705539358405087,0.12466124529578955,0.0,23,3,320
9,15,0,0.0,0,0.0,0,0,1
9,16,0,0.0,0,0.0,0,0,2
9,39,0,0.0,0,0.0,0,0,2
9,56,0,0.0,0,0.0,0,0,16
9,60,0,0.0,0,0.0,0,0,5
10,0,0,0.0,0,0.0,0,0,333
10,1,0.9027777776523921,0.30373831774281596,0.4545454507462468,0.15270523726940155,65,7,149
10,2,0,0.0,0,0.0,0,0,91
10,3,0,0.0,0,0.0,0,0,15
10,5,0,0.0,0,0.04129466041922569,0,0,10
10,8,0.7727272725516529,0.09912536442859693,0.17571059229079453,0.0,34,10,309
10,15,0,0.0,0,0.0,0,0,1
10,16,0,0.0,0,0.0,0,0,2
10,39,0,0.0,0,0.0,0,0,2
10,56,0,0.0,0,0.0,0,0,16
10,60,0,0.0,0,0.0,0,0,5
11,0,0,0.0,0,0.0,0,0,333
11,1,0.8837209301297999,0.3551401868992925,0.5066666625431111,0.18417489528656006,76,10,138
11,2,0,0.0,0,0.0,0,0,91
11,3,0,0.0,0,0.0,0,0,15
11,5,0,0.0,0,0.047655150294303894,0,0,10
11,8,0.7884615383099113,0.11953352769330806,0.20759493441204938,0.0,41,11,302
11,15,0,0.0,0,0.0,0,0,1
11,16,0,0.0,0,0.0,0,0,2
11,39,0,0.0,0,0.0,0,0,2
11,56,0,0.0,0,0.0,0,0,16
11,60,0,0.0,0,0.0,0,0,5
12,0,0,0.0,0,0.0,0,0,333
12,1,0.8775510203186173,0.40186915885972574,0.5512820469378699,0.2044009268283844,86,12,128
12,2,0,0.0,0,0.0,0,0,91
12,3,0,0.0,0,0.0,0,0,15
12,5,0,0.0,0,0.040964189916849136,0,0,10
12,8,0.7254901959361784,0.10787172011347312,0.18781725661998508,0.0,37,14,306
12,15,0,0.0,0,0.0,0,0,1
12,16,0,0.0,0,0.0,0,0,2
12,39,0,0.0,0,0.0,0,0,2
12,56,0,0.0,0,0.0,0,0,16
12,60,0,0.0,0,0.0,0,0,5
13,0,0,0.0,0,0.0,0,0,333
13,1,0.8623853210217995,0.4392523364280723,0.5820433391455876,0.221212700009346,94,15,120
13,2,0,0.0,0,0.0,0,0,91
13,3,0,0.0,0,0.0,0,0,15
13,5,0,0.0,0,0.04231895133852959,0,0,10
13,8,0.7307692306286983,0.11078717200843186,0.19240506099509694,0.0,38,14,305
13,15,0,0.0,0,0.0,0,0,1
13,16,0,0.0,0,0.0,0,0,2
13,39,0,0.0,0,0.0,0,0,2
13,56,0,0.0,0,0.0,0,0,16
13,60,0,0.0,0,0.0,0,0,5
14,0,0,0.0,0,0.0,0,0,333
14,1,0.8534482757884959,0.46261682240828894,0.5999999954045914,0.22316588461399078,99,17,115
14,2,0,0.0,0,0.0,0,0,91
14,3,0,0.0,0,0.0,0,0,15
14,5,0,0.0,0,0.04379774630069733,0,0,10
14,8,0.7399999998519999,0.10787172011347312,0.1882951631640218,0.0,37,13,306
14,15,0,0.0,0,0.0,0,0,1
14,16,0,0.0,0,0.0,0,0,2
14,39,0,0.0,0,0.0,0,0,2
14,56,0,0.0,0,0.0,0,0,16
14,60,0,0.0,0,0.0,0,0,5
