Epoch,Train Loss,Eval Loss,mAP
0,253.0555078257685,5677.55419921875,0.04298364371061325
1,217.32454648225203,5703.810546875,0.052480440586805344
2,202.0903031722359,5669.88525390625,0.07300040125846863
3,192.39435278851053,5675.50439453125,0.0727081298828125
4,187.55431465480638,5683.49755859375,0.07211557030677795
5,193.62081146240234,4803.04541015625,0.018745874986052513
6,176.79976654052734,4803.04541015625,0.018745874986052513
7,172.13423919677734,4803.04541015625,0.018745874986052513
8,167.96047592163086,4803.04541015625,0.018745874986052513
9,162.5880241394043,4803.04541015625,0.018745874986052513
10,160.39706420898438,4803.04541015625,0.023564357310533524
11,155.55487060546875,4803.04541015625,0.023564357310533524
12,153.76630401611328,4803.04541015625,0.024356435984373093
13,149.52740478515625,4803.04541015625,0.024356435984373093
14,145.5425796508789,4803.04638671875,0.024752475321292877
