Epoch,Train Loss,Eval Loss,mAP
0,260.95134048461915,4799.88427734375,0.015101315453648567
1,232.83624191284179,4775.15380859375,0.019879942759871483
2,212.4344482421875,4791.13037109375,0.0355091392993927
3,199.09373168945314,4861.03076171875,0.03916023299098015
4,191.05607833862305,4775.59814453125,0.04044429585337639
5,181.78621101379395,4825.59228515625,0.05817829445004463
6,176.17231483459472,4786.3076171875,0.06215300038456917
7,170.9073501586914,4783.16748046875,0.06723912060260773
8,166.83571853637696,4826.73388671875,0.06379994004964828
9,162.351176071167,4754.43896484375,0.06497203558683395
10,157.53300247192382,4769.79345703125,0.06683637201786041
11,153.542671585083,4790.1533203125,0.0614953450858593
12,149.37424697875977,4755.12548828125,0.06494255363941193
13,146.7835521697998,4811.7734375,0.07010442763566971
14,144.90374565124512,2863.4990234375,0.011089108884334564
