Epoch,Train Loss,Eval Loss,mAP
0,245.16716856115005,10356.72265625,0.13408160209655762
1,202.35394646139707,10364.19140625,0.1574329286813736
2,191.3131716111127,10349.5029296875,0.171955406665802
3,185.31863650153664,10368.318359375,0.19096727669239044
4,113.95219421386719,16.182523727416992,0.1346534639596939
5,86.18287658691406,16.182523727416992,0.1346534639596939
6,85.10366821289062,16.182514190673828,0.1346534639596939
7,84.11544799804688,16.182523727416992,0.1346534639596939
8,83.01294708251953,16.182514190673828,0.1346534639596939
9,81.28109741210938,16.182514190673828,0.1346534639596939
10,79.66816711425781,16.182523727416992,0.1346534639596939
11,78.11093139648438,16.182514190673828,0.1346534639596939
12,76.39557647705078,16.182514190673828,0.1346534639596939
13,74.59032440185547,16.182514190673828,0.1346534639596939
14,72.98352813720703,16.182523727416992,0.1346534639596939
