Epoch,Train Loss,Eval Loss,mAP
0,265.6926513671875,4147.7841796875,0.01673450693488121
1,231.08096923828126,4245.11181640625,0.02110377699136734
2,220.47140655517578,4244.35791015625,0.01873120665550232
3,213.91129608154296,4253.607421875,0.016130363568663597
4,201.12472381591797,4209.37109375,0.0115323755890131
5,192.10745849609376,4219.4814453125,0.029248258098959923
6,188.37539367675782,4201.8779296875,0.033089302480220795
7,182.49552459716796,4248.24853515625,0.02639414183795452
8,177.90372619628906,4322.3447265625,0.02530631609261036
9,169.92059478759765,4232.212890625,0.03822452202439308
10,168.18963928222655,4244.08447265625,0.03480678051710129
11,161.8768096923828,4263.53173828125,0.03239983320236206
12,158.39131622314454,4229.98095703125,0.026055777445435524
13,163.79082794189452,4229.88720703125,0.03263664245605469
14,152.21877899169922,4272.9169921875,0.022798683494329453
