Epoch,Train Loss,Eval Loss,mAP
0,260.4378356933594,5590.904296875,0.030584236606955528
1,207.53748016357423,5610.13232421875,0.03313387185335159
2,197.6580795288086,5590.74658203125,0.03996333107352257
3,193.5313751220703,5590.0625,0.0388936921954155
4,181.97361907958984,5609.05859375,0.051290933042764664
5,174.3420669555664,5621.087890625,0.05276578664779663
6,167.78294525146484,5609.51708984375,0.04862813279032707
7,166.242138671875,5600.10888671875,0.06052658334374428
8,159.91310424804686,5599.39697265625,0.05278076231479645
9,156.44615020751954,5625.66845703125,0.061157725751399994
10,153.8180725097656,5616.890625,0.060835741460323334
11,152.0103958129883,5592.111328125,0.06484276801347733
12,146.114794921875,5599.80712890625,0.06832537055015564
13,142.82969818115234,5628.26708984375,0.06688735634088516
14,140.10847015380858,5603.05517578125,0.07781147956848145
