Epoch,Train Loss,Eval Loss,mAP
0,284.3622817993164,5753.71630859375,0.005002370569854975
1,240.57399654388428,5691.7353515625,0.005573099013417959
2,222.27930116653442,5683.62548828125,0.009445607662200928
3,208.8596591949463,5709.908203125,0.011983465403318405
4,199.1318016052246,5672.4892578125,0.01306114997714758
5,193.77587175369263,5697.4814453125,0.013832936994731426
6,186.2100019454956,5678.75390625,0.014910053461790085
7,182.13301944732666,5724.708984375,0.01515055913478136
8,233.2714328765869,5785.2548828125,0.013260305859148502
