Epoch,Train Loss,Eval Loss,mAP
0,0.3811233900487423,5265.6201171875,0.00347734778188169
1,0.3580264840275049,5283.92822265625,0.006127426866441965
2,0.3397613000124693,5260.83447265625,0.0071061453782022
3,0.3269409481436014,5284.3359375,0.008472698740661144
4,0.31591528467833996,5283.8525390625,0.010258850641548634
5,0.3064528200775385,5291.0849609375,0.010827306658029556
6,0.29686317779123783,5273.1728515625,0.01117140706628561
7,0.28892144188284874,5290.8515625,0.010992891155183315
8,0.28192501701414585,5269.2958984375,0.012414105236530304
9,0.2765976581722498,5297.041015625,0.011728106066584587
10,195.73668766021729,5282.9931640625,0.01763635315001011
11,182.05018186569214,5306.369140625,0.021075459197163582
12,176.90736198425293,5261.3173828125,0.022305918857455254
13,171.04489040374756,5297.5146484375,0.023957422003149986
14,167.92513942718506,5269.2763671875,0.02426942065358162
15,209.59889698028564,5470.24658203125,0.021401088684797287
16,167.6733160018921,5495.39208984375,0.02439897507429123
17,164.91749477386475,5499.52490234375,0.023062456399202347
18,160.23276090621948,5492.63818359375,0.022888146340847015
19,155.32685375213623,5440.31884765625,0.022928806021809578
20,152.1796989440918,5456.7216796875,0.02309718355536461
21,192.98592138290405,5516.01123046875,0.022349068894982338
22,184.18063163757324,5522.73974609375,0.023894209414720535
23,154.51350355148315,5510.4013671875,0.02452261559665203
24,150.1061897277832,5561.99853515625,0.023179199546575546
