Epoch,Train Loss,Eval Loss,mAP
0,290.06279945373535,5923.119140625,0.005482259672135115
1,245.00506591796875,5892.6962890625,0.005735127255320549
2,242.01365566253662,5882.81884765625,0.006170019507408142
3,238.76054191589355,5830.4697265625,0.005706924945116043
4,237.25454139709473,5911.224609375,0.006036526057869196
5,231.6816577911377,5876.13818359375,0.006307792849838734
6,231.3276071548462,5882.255859375,0.007645566947758198
7,226.33525562286377,5900.1787109375,0.008486947976052761
8,224.50060176849365,5869.80126953125,0.0076530566439032555
9,221.31104183197021,5890.0966796875,0.008035845123231411
10,267.4153022766113,5892.2919921875,0.00777405733242631
11,221.2216672897339,5887.580078125,0.00795367918908596
12,260.76592922210693,5900.5771484375,0.009028773754835129
13,218.6689510345459,5883.0625,0.008949430659413338
14,217.07900142669678,5895.42822265625,0.009232528507709503
