Epoch,Train Loss,Eval Loss,mAP
0,146.16811442375183,1697.08837890625,0.007724115625023842
1,120.27590620517731,1694.2564697265625,0.009940377436578274
2,111.46511685848236,1689.722900390625,0.010962896049022675
3,105.45621752738953,1681.5235595703125,0.01477757841348648
4,101.98257631063461,1718.6473388671875,0.015191515907645226
5,99.14753901958466,1701.558349609375,0.015991628170013428
6,94.82532095909119,1694.3162841796875,0.016417592763900757
7,92.18041527271271,1705.3951416015625,0.01836346834897995
8,120.3760586977005,1786.19677734375,0.012141394428908825
9,98.60998690128326,1787.0850830078125,0.013219909742474556
10,93.69999289512634,1797.015625,0.01587088033556938
11,91.4375786781311,1804.4561767578125,0.016898900270462036
12,90.09363603591919,1770.7818603515625,0.016561437398195267
13,88.08573973178864,1792.9339599609375,0.017558200284838676
14,86.22691857814789,1808.3546142578125,0.01594763994216919
