Epoch,Train Loss,Eval Loss,mAP
0,224.64952087402344,1102.75048828125,0.039273928850889206
1,210.89407348632812,1102.750244140625,0.04257425665855408
2,196.71255493164062,1102.75048828125,0.04257425665855408
3,189.77273559570312,1102.750244140625,0.04257425665855408
4,178.92276000976562,1102.75048828125,0.04257425665855408
5,169.98846435546875,1102.750244140625,0.04257425665855408
6,160.34967041015625,1102.75048828125,0.04257425665855408
7,152.3232879638672,1102.750244140625,0.04257425665855408
8,144.55238342285156,1102.750244140625,0.04257425665855408
9,139.1728515625,1102.75048828125,0.04257425665855408
10,134.90768432617188,1102.75048828125,0.04257425665855408
11,130.77796936035156,1102.75048828125,0.04257425665855408
12,127.28765106201172,1102.750244140625,0.04257425665855408
13,123.87744140625,1102.75048828125,0.04257425665855408
14,120.03815460205078,1102.7503662109375,0.04257425665855408
