Epoch,Train Loss,Eval Loss,mAP
0,278.3554382324219,5498.70703125,0.023564357310533524
1,225.7672576904297,5495.78515625,0.023564357310533524
2,213.64442443847656,5562.0869140625,0.03207920864224434
3,208.31475830078125,5488.76904296875,0.02485148422420025
4,197.03582763671875,5543.73779296875,0.023564357310533524
5,188.5276336669922,5498.353515625,0.03207920864224434
6,188.62413024902344,5480.12158203125,0.03336633741855621
7,173.45628356933594,5427.57958984375,0.032937292009592056
8,168.5626678466797,5509.9287109375,0.03207920864224434
9,167.36825561523438,5510.87548828125,0.03207920864224434
10,154.5801773071289,5410.41796875,0.03465346619486809
11,148.81926727294922,5604.16064453125,0.03207920864224434
12,144.82667541503906,5499.6123046875,0.032937292009592056
13,143.84912872314453,5576.099609375,0.06122112274169922
14,139.41583633422852,5525.1142578125,0.03336633741855621
