Epoch,Train Loss,Eval Loss,mAP
0,287.18600273132324,5689.5205078125,0.00508559076115489
1,237.8551893234253,5728.3310546875,0.0068004983477294445
2,222.41298007965088,5681.9853515625,0.008481422439217567
3,208.31869220733643,5698.52294921875,0.009474219754338264
4,199.33198833465576,5637.2099609375,0.010053855367004871
5,193.27950859069824,5667.28076171875,0.011438299901783466
6,187.6362190246582,5764.599609375,0.013051683083176613
7,181.65894508361816,5737.9892578125,0.014953634701669216
8,230.06890487670898,5789.2060546875,0.012497800402343273
