Epoch,Train Loss,Eval Loss,mAP
0,263.90450897216795,5620.76953125,0.043108612298965454
1,242.71099090576172,5581.13427734375,0.04895154759287834
2,230.73941497802736,5628.32568359375,0.06331940740346909
3,215.87224731445312,5578.35888671875,0.0680098757147789
4,208.51331024169923,5592.21728515625,0.06874255836009979
5,204.35072021484376,5611.52197265625,0.07416409999132156
6,195.1039825439453,5577.80224609375,0.07433009892702103
7,191.68767242431642,5624.24951171875,0.07310598343610764
8,186.80159454345704,5626.37158203125,0.0797879695892334
9,180.79922790527343,5621.837890625,0.08415810018777847
10,174.93099212646484,5574.97607421875,0.0845431312918663
11,172.30421295166016,5592.81982421875,0.07938123494386673
12,203.54708862304688,1774.34765625,0.020792080089449883
13,163.06610107421875,1774.3477783203125,0.020792080089449883
14,160.57261657714844,1774.34765625,0.020792080089449883
