Epoch,Train Loss,Eval Loss,mAP
0,191.128586769104,4496.21240234375,0.05310283228754997
1,186.34011554718018,4452.08203125,0.04767417907714844
2,175.13904094696045,4447.197265625,0.055483028292655945
3,168.1896734237671,4467.59619140625,0.06953877955675125
4,162.39534091949463,4520.99365234375,0.07445739209651947
5,156.1971526145935,4460.67578125,0.09258139133453369
6,151.20146989822388,4481.0986328125,0.10170246660709381
7,147.96574783325195,4459.41943359375,0.09598080068826675
8,144.60777282714844,4479.11328125,0.10514713823795319
9,142.42999839782715,4457.83544921875,0.10265620052814484
10,139.35985279083252,4459.380859375,0.11638028919696808
11,134.86324310302734,4453.0869140625,0.10400690883398056
12,134.96384572982788,4438.3720703125,0.11153865605592728
13,133.56021118164062,4435.97412109375,0.11472608894109726
14,129.97807788848877,4449.4677734375,0.10695888102054596
