Epoch,Train Loss,Eval Loss,mAP
0,72.95000412350609,843.1057739257812,0.004792650230228901
1,61.80568313598633,838.71875,0.0055136894807219505
2,58.44002109103732,839.216064453125,0.01045044232159853
3,55.00978633335659,841.377197265625,0.012232840061187744
4,53.02450634184338,835.0087280273438,0.013482052832841873
5,51.26710498143756,838.925537109375,0.01428335253149271
6,49.64217019459558,835.9381103515625,0.016476210206747055
7,48.20706748962402,838.7543334960938,0.017669934779405594
8,47.635970100523934,839.0433349609375,0.01771377958357334
9,59.59567957075815,794.9788208007812,0.009286902844905853
10,51.63825213719928,799.62841796875,0.012247263453900814
11,48.960773437742205,790.7268676757812,0.012100625783205032
12,47.993151800973074,791.6860961914062,0.01280538272112608
13,47.134285275898286,793.260009765625,0.014591977000236511
14,46.30079608493381,791.2005004882812,0.01475693378597498
